"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-02-04",270.11,272.02,269.36,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-05",272.47,273.44,271.88,273.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-06",272.79,273.34,271.92,272.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-07",270.94,271.55,268.29,270.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-08",268.75,270.51,267.83,270.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-11",271.2,271.49,270.03,270.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-12",272.42,274.52,272.34,274.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-13",275.03,275.93,274.56,274.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-14",273.78,275.64,272.87,274.38,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-15",276.34,277.41,276.13,277.39,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-19",276.49,278.58,276.47,277.85,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-20",277.81,278.92,277.25,278.44,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-21",277.73,278.1,276.34,277.45,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-22",278.11,279.36,277.82,279.15,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-25",280.73,281.31,279.43,279.57,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-26",279.13,280.3,278.9,279.32,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-27",278.55,279.59,277.48,279.23,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-28",278.96,279.45,278.32,278.6,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-01",280.44,280.88,278.82,280.49,273.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-04",281.6,281.87,276.84,279.41,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-05",279.55,279.76,278.41,279.05,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-06",279.15,279.16,276.97,277.3,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-03-07",276.83,276.99,274.07,275.08,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.8
"2019-03-08",272.93,274.65,272.42,274.53,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.8
"2019-03-11",275.26,278.62,275.23,278.5,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.8
"2019-03-12",279.04,280.07,278.85,279.44,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.8
"2019-03-13",280.48,282.38,280.3,281.34,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,NA,280.8,280.9,281,275.8
"2019-03-14",281.37,281.84,280.66,281.19,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-15",280.54,282.21,280.33,281.35,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-18",281.55,282.66,281.3,282.39,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-19",283.51,284.36,281.41,282.48,273.8,277.4,277.2,277.3,276.9,NA,NA,NA,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-20",282.17,283.5,280.32,281.52,273.8,277.4,277.2,277.3,276.9,280.7,NA,NA,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-21",280.63,285.18,280.59,284.67,273.8,277.4,277.2,277.3,276.9,280.7,NA,NA,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-22",283.22,283.81,279.18,279.25,273.8,277.4,277.2,277.3,276.9,280.7,281,280.9,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-25",278.88,280.19,277.64,279.03,273.8,277.4,277.2,277.3,276.9,280.7,281,280.9,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-26",280.99,282.18,279.56,281.03,273.8,277.4,277.2,277.3,276.9,280.7,281,280.9,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-27",281.11,281.76,277.93,279.72,273.8,277.4,277.2,277.3,276.9,280.7,281,280.9,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-28",280.35,281.21,279.07,280.78,273.8,277.4,277.2,277.3,276.9,280.7,281,280.9,NA,NA,280.7,280.8,280.9,281,275.8
"2019-03-29",282.39,282.84,281.14,282.6,273.8,277.4,277.2,277.3,276.9,280.7,281,280.9,NA,NA,280.7,280.8,280.9,281,275.8
"2019-04-01",284.71,286.16,284.4,285.89,273.8,277.4,277.2,277.3,276.9,280.7,281,280.9,NA,NA,280.7,280.8,280.9,281,275.8
"2019-04-02",286.04,286.23,285.09,285.98,273.8,277.4,277.2,277.3,276.9,280.7,281,280.9,NA,NA,280.7,280.8,280.9,281,275.8
