"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-06-20",91.56,91.85,91.39,91.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-06-21",91,91.27,90.04,90.38,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-06-24",90.63,90.91,89.65,89.82,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-06-25",89.93,90.17,88.61,88.63,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-06-26",88.63,88.72,86.61,86.83,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-06-27",86.53,87.16,86.37,87.06,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-06-28",87.21,87.96,87.14,87.48,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-01",87.8,87.98,86.33,87.34,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-02",87.68,88.84,87.44,88.81,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-03",89.02,90.01,88.94,89.94,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-05",89.31,89.91,88.22,89.61,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-08",89.54,90.09,89.39,89.9,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-09",89.75,90.39,89.51,90.3,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-10",90.62,91,90.15,90.75,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-11",90.77,90.77,89.23,89.6,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-12",89.65,89.77,89.07,89.44,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-15",89.58,89.98,89.3,89.41,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
"2019-07-16",89.12,89.57,88.81,89.2,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.3
