"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-02-11",42.99,43.02,42.05,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-12",43.21,44.11,43.1,43.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-13",43.58,43.72,42.87,43.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-14",42.53,44.51,42.47,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-15",44.5,44.6,43.93,44.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-19",44.13,44.63,44.12,44.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-20",44.13,44.62,43.65,43.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-21",43.42,43.6,42.96,43.55,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-02-22",43.97,44.36,43.82,44.15,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-02-25",44.54,44.58,43.87,43.92,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-02-26",44.1,44.24,43.83,44.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-02-27",43.96,44.36,43.74,44.16,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-02-28",43.79,43.83,42.98,43.01,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-03-01",42.6,42.83,42.19,42.35,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-03-04",42.36,42.45,41.85,42.37,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-03-05",42.35,42.95,42.15,42.69,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-03-06",42.69,42.8,41.33,41.51,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-03-07",41.66,41.69,40.73,41.19,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-03-08",41.16,41.73,41.02,41.66,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-03-11",42.27,43.13,42.27,43.07,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
"2019-03-12",43.17,43.53,43.07,43.28,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43,43,43,43
