"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-04-08",79.18,79.31,78.81,79.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-04-09",79.01,79.14,78.16,78.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-04-10",78.4,79.56,78.4,79.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-04-11",79.52,79.66,79.17,79.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-04-12",79.8,79.95,79.35,79.7,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-15",79.87,79.98,79.12,79.36,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-16",79.67,79.79,79.33,79.7,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-17",79.98,79.99,78.86,79.29,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-18",79.28,79.42,78.65,79.04,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-22",78.91,79.06,78.29,78.66,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-23",78.77,80.06,78.71,79.81,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-24",79.83,80.32,79.67,80.05,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-25",79.75,79.87,78.64,79.24,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-26",79.3,79.99,79,79.94,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-29",80,80.63,79.97,80.31,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-04-30",80.31,80.47,79.48,80.12,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-05-01",80.35,80.42,79.41,79.41,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,NA,NA,NA,NA
"2019-05-02",79.37,80.1,78.85,79.66,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.3,79.3,79.3,79.3
"2019-05-03",79.99,81.34,79.99,81.27,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.3,79.3,79.3,79.3
"2019-05-06",80.03,81.5,80.01,81.33,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.3,79.3,79.3,79.3
"2019-05-07",80.7,80.96,79.21,79.86,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.9,79.3,79.3,79.3,79.3
