"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-01-16",47.56,47.77,47.56,47.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-17",47.37,48,47.36,47.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-18",48.25,48.41,48.15,48.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-22",47.81,47.86,47.4,47.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-23",47.92,47.96,47.54,47.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-24",47.85,48.05,47.78,47.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-25",48.4,48.6,48.4,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-28",48.06,48.22,47.97,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-29",48.46,48.54,48.31,48.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-30",48.56,49.11,48.4,48.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-31",48.89,49.14,48.83,49.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-01",48.95,49.06,48.81,48.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-04",48.86,49.12,48.78,49.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-05",49.36,49.6,49.35,49.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-06",49.43,49.45,49.14,49.19,49.1,49.1,49.1,49.1,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-07",48.83,48.91,48.41,48.6,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,NA,NA,NA,NA,NA
"2019-02-08",48.27,48.43,48.1,48.43,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,NA,NA,NA,NA,NA
"2019-02-11",48.42,48.48,48.24,48.32,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,NA,NA,NA,NA,NA
"2019-02-12",48.75,48.91,48.71,48.85,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,NA,NA,NA,NA,NA
"2019-02-13",48.98,49.08,48.76,48.77,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-02-14",48.69,48.97,48.58,48.79,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-02-15",49.16,49.31,49.04,49.3,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-02-19",49.19,49.64,49.18,49.55,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-02-20",49.66,49.98,49.66,49.79,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-02-21",49.74,49.76,49.52,49.65,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-02-22",49.87,50.03,49.83,49.92,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-02-25",50.26,50.33,50.12,50.14,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-02-26",50.14,50.42,50.12,50.32,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-02-27",50.2,50.23,49.99,50.09,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-02-28",49.99,50,49.82,49.84,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-01",50.15,50.21,49.93,50.07,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-04",50.18,50.19,49.7,49.95,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-05",50.03,50.21,49.93,50.1,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-06",50.15,50.18,49.9,49.92,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-07",49.71,49.74,49.2,49.24,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-08",48.89,49.14,48.86,49.13,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-11",49.3,49.71,49.28,49.7,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-12",49.72,49.82,49.7,49.77,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-13",49.9,50.12,49.87,50.08,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-14",49.99,50.06,49.91,50.01,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-15",50.34,50.57,50.29,50.54,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-18",50.69,50.87,50.64,50.86,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-19",51.11,51.12,50.81,50.94,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-20",50.76,51.18,50.54,50.9,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-21",50.6,50.94,50.6,50.94,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-22",50.33,50.41,49.83,49.84,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-25",49.63,49.82,49.52,49.75,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-26",50.07,50.15,49.86,50.03,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-27",50.04,50.12,49.6,49.87,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-28",49.88,49.94,49.68,49.91,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
"2019-03-29",50.19,50.23,49.95,50.16,49.1,49.1,49.1,49.1,49.1,48.5,48.5,48.5,48.5,48.5,49,49,49,49,49
