"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-01-07",52.44,52.67,52.12,52.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-08",52.46,53.12,52.17,53.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-09",53.03,53.25,52.59,52.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-10",52.8,53.53,52.73,53.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-11",53.36,53.43,52.9,53.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-14",52.6,52.61,51.54,52.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-15",51.81,52.96,51.76,52.71,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-16",52.57,52.88,52.27,52.85,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-17",52.82,53.2,52.74,53.08,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-18",53.15,53.32,52.9,53.14,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-22",53.13,53.54,52.72,53.24,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-23",53.25,53.81,53.15,53.78,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-24",53.74,54.11,53.34,54.05,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-25",53.89,54.14,53.24,53.32,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-28",53.33,53.53,52.83,53.08,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-29",53.32,53.47,53.04,53.23,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-30",53.08,53.86,53,53.61,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-31",53.61,54.92,53.37,54.75,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-01",54.53,54.76,54.07,54.55,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-04",54.31,54.67,53.93,54.66,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-05",54.64,54.85,54.33,54.74,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-06",54.67,54.94,54.45,54.71,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-07",54.64,55.43,54.47,55.43,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-08",55.31,55.71,55.19,55.69,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-11",55.68,55.95,55.47,55.65,52.6,52.6,52.6,52.6,52.6,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-12",55.67,56.07,55.35,55.77,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,NA,NA,NA
"2019-02-13",55.62,55.77,55.39,55.63,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,NA,NA,NA
"2019-02-14",55.67,55.83,55.34,55.51,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,NA,NA,NA
"2019-02-15",55.72,55.92,55.51,55.71,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,NA,NA,NA
"2019-02-19",55.75,56.1,55.58,56.04,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,NA,NA,NA
"2019-02-20",56.02,56.39,55.71,56.29,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,NA,NA,NA
"2019-02-21",56.12,56.79,55.93,56.7,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,NA,NA,NA
"2019-02-22",56.8,57.06,56.54,57.05,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,NA,NA,NA
"2019-02-25",57.1,57.14,56.45,56.67,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,NA,NA,NA
"2019-02-26",56.8,56.88,56.32,56.61,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,56.4,56.4,56.4
"2019-02-27",56.48,56.86,56.41,56.7,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,56.4,56.4,56.4
"2019-02-28",56.71,57.15,56.41,57,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,56.4,56.4,56.4
"2019-03-01",57.03,57.17,56.65,57.11,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,56.4,56.4,56.4
"2019-03-04",57.2,57.35,56.66,57.24,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,56.4,56.4,56.4
"2019-03-05",57.23,57.37,57.06,57.15,52.6,52.6,52.6,52.6,52.6,52.6,55.4,55.4,55.4,55.4,55.4,55.4,56.4,56.4,56.4
