"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-01-22",106.33,106.58,104.34,105.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-23",105.67,106.05,104.22,105.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-24",105.49,105.97,105.2,105.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-25",106.94,107.42,106.77,107.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-28",105.98,106.42,105.37,106.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-29",106.36,106.36,105.07,105.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-30",106.56,108.11,106.47,107.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-31",107.96,109.15,107.47,108.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-01",107.85,108.25,106.96,107.18,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-04",107.04,107.94,106.89,107.93,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-05",108.22,109.08,108.22,108.89,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.8
"2019-02-06",108.93,109.21,108.02,108.45,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.8
"2019-02-07",107.68,107.94,106.66,107.56,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.8
"2019-02-08",106.89,107.14,106.36,107.14,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.8
"2019-02-11",107.49,107.75,107.16,107.31,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.8
"2019-02-12",108.01,109.09,107.82,108.97,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-13",109.42,109.95,109.16,109.7,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-14",108.84,109.9,108.31,109.31,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-15",109.98,110.29,109.69,110.05,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-19",109.69,110.84,109.69,110.5,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-20",110.58,110.99,109.61,110.73,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-21",110.47,110.83,110.09,110.5,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-22",110.78,111.16,110.61,111.11,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-25",111.77,111.91,110.68,110.73,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-26",110.4,111.05,110.22,110.87,107.2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-27",110.77,111.13,110.06,110.8,107.2,107,110.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-02-28",110.41,110.52,109.71,110.21,107.2,107,110.1,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-03-01",111.11,111.55,110.36,111.1,107.2,107,110.1,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-03-04",111.6,111.77,109.94,110.76,107.2,107,110.1,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-03-05",111.03,111.5,110.86,111.03,107.2,107,110.1,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-03-06",111.14,111.61,110.46,110.5,107.2,107,110.1,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-03-07",110.27,110.41,108.82,109.17,107.2,107,110.1,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-03-08",108.47,108.47,107.66,108.42,107.2,107,110.1,109.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.1,108.8
"2019-03-11",108.78,110,108.74,109.9,107.2,107,110.1,109.8,110,NA,NA,NA,NA,NA,NA,NA,109.8,109.1,108.8
"2019-03-12",110.07,110.37,109.62,110.19,107.2,107,110.1,109.8,110,NA,NA,NA,NA,NA,NA,NA,109.8,109.1,108.8
"2019-03-13",110.53,111.25,110.4,110.6,107.2,107,110.1,109.8,110,NA,NA,NA,NA,NA,NA,NA,109.8,109.1,108.8
"2019-03-14",110.45,110.51,110.01,110.26,107.2,107,110.1,109.8,110,NA,NA,NA,NA,NA,NA,NA,109.8,109.1,108.8
"2019-03-15",110.44,110.69,109.83,110.59,107.2,107,110.1,109.8,110,NA,NA,NA,NA,NA,NA,NA,109.8,109.1,108.8
"2019-03-18",110.68,111.76,110.65,111.67,107.2,107,110.1,109.8,110,NA,NA,NA,NA,NA,NA,NA,109.8,109.1,108.8
