"Date","Open","High","Low","Close","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15"
"2019-02-04",44.74,45.55,44.64,45.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-05",45.18,45.49,44.86,45.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-06",43.99,44.22,43.16,43.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-07",43.4,43.53,42.55,43.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-08",43.31,43.4,42.17,43.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-11",42.99,43.02,42.05,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-12",43.21,44.11,43.1,43.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-13",43.58,43.72,42.87,43.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-14",42.53,44.51,42.47,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-15",44.5,44.6,43.93,44.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-19",44.13,44.63,44.12,44.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-20",44.13,44.62,43.65,43.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-21",43.42,43.6,42.96,43.55,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-22",43.97,44.36,43.82,44.15,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-02-25",44.54,44.58,43.87,43.92,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"2019-02-26",44.1,44.24,43.83,44.1,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"2019-02-27",43.96,44.36,43.74,44.16,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"2019-02-28",43.79,43.83,42.98,43.01,43.4,43.1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"2019-03-01",42.6,42.83,42.19,42.35,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"2019-03-04",42.36,42.45,41.85,42.37,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"2019-03-05",42.35,42.95,42.15,42.69,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"2019-03-06",42.69,42.8,41.33,41.51,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"2019-03-07",41.66,41.69,40.73,41.19,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"2019-03-08",41.16,41.73,41.02,41.66,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"2019-03-11",42.27,43.13,42.27,43.07,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,42.7,42.8,44.4
"2019-03-12",43.17,43.53,43.07,43.28,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,42.7,42.8,44.4
"2019-03-13",43.12,44.05,42.95,43.76,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,42.7,42.8,44.4
"2019-03-14",43.55,43.6,42.79,43.2,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,42.7,42.8,44.4
"2019-03-15",43.46,43.94,43.42,43.69,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,42.7,42.8,44.4
"2019-03-18",43.75,44.53,43.7,44.39,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,42.7,42.8,44.4
"2019-03-19",44.53,45,44.24,44.36,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,42.7,42.8,44.4
"2019-03-20",44.15,44.83,43.73,43.99,43.4,43.1,43,42.7,42.8,NA,NA,NA,NA,NA,NA,NA,42.7,42.8,44.4
